,Title,Published_date,Views,likes,Comments
53,What If You Stopped Sweating? #Shorts,2022-10-21,125637,9890,89
54,What If There Were Life After Death?,2022-10-20,580189,56000,857
55,What If Earth’s Oceans Evaporated?,2022-10-19,102150,3186,224
56,What If You Fell Into a Pool Filled Snake Venom? #Shorts,2022-10-18,2629410,148933,578
57,What If AI Could Produce Better Art Than Humans? #Shorts,2022-10-15,83878,5128,81
58,What If Kepler 22-b Was in Our Solar System?,2022-10-14,330250,8152,454
59,What If Earth Was Spinning at the Speed of Light? #Shorts,2022-10-13,3893410,348865,2867
60,What If The Empire State Building Was Swallowed by a Sinkhole?,2022-10-12,57104,1467,160
61,What If Our Oceans Froze? #Shorts,2022-10-11,147472,12238,82
62,What If We Vaccinated All Animals for Covid-19? #Shorts,2022-10-09,134641,8100,129
63,What If the Largest Black Hole Entered Our Solar System?,2022-10-08,208631,5305,524
64,What If You Only Ate Raw Meat? #Shorts,2022-10-07,135619,9882,119
65,What If You Drank Snake Venom? #Shorts,2022-10-05,120378,7246,65
66,What If We Built a Bridge Into Space?,2022-10-04,73576,2143,162
67,What If There Was a Secret Civilization Hiding in the Amazon?,2022-10-02,83273,2757,213
68,What If Bees Disappeared #Shorts,2022-10-01,290123,21355,268
69,What If Earth Was a Pulsar Planet?,2022-09-30,137544,4112,229
70,What If You Visited the Galaxy’s Most Dangerous Planet?,2022-09-27,391232,8331,422
71,What if You Shed Your Skin Like a Snake? #Shorts,2022-09-26,3504735,130494,1065
72,What If All Helium Disappeared for 5 Seconds?,2022-09-25,141501,4069,211
73,What If You Jumped Into a Pool Full of Honey? #Shorts,2022-09-24,2495292,184962,844
74,What If Earth Had Jupiter’s Atmosphere?,2022-09-23,121564,3417,253
75,"What If You Fell Off the World's Tallest Building?"" #Shorts",2022-09-22,477242,53634,404
76,What If a Megalodon Shark Fought the Kraken? #Shorts,2022-09-19,3143317,249660,1315
77,What If You Were Caught in a Riptide?,2022-09-18,97119,2396,158
78,What If Your Tongue Was Twice as Long? #Shorts,2022-09-17,1902346,88628,535
79,What If the Megalodon Shark Never Went Extinct?,2022-09-16,105543,2913,206
80,What If You Were Trapped in a Grocery Store for the Rest of Your Life? #Shorts,2022-09-15,2687462,172810,1464
81,What If Earth Was Half Land and Half Water?,2022-09-14,687777,15712,781
82,What If You Ate the Spiciest Pepper in the World? #Shorts,2022-09-12,1087057,60525,577
83,What If You Drank Radioactive Tritium?,2022-09-11,157150,4397,297
84,What If Seeds Could Grow in Your Stomach? #Shorts,2022-09-10,3214391,187014,808
85,What Happens When the Queen Dies?,2022-09-09,4741004,46224,2510
86,What If You Lose Your Teeth Overnight? #Shorts,2022-09-08,174426,9833,108
87,What If We Entered a New Ice Age?,2022-09-07,173229,4832,427
88,What If We Killed All Mosquitoes? #Shorts,2022-09-05,10571465,714138,17030
89,What If You Fell into a Yellowstone Hot Spring?,2022-09-04,111961,2284,116
90,What If You Drank from Lake Natron? #Shorts,2022-09-03,312558,27691,117
91,What If Latin America Was a Single Country?,2022-09-02,56600,1904,373
92,What If Giant Bugs Roamed the Earth?,2022-09-01,121439,3365,347
93,What If You Mated With Neanderthals? #Shorts,2022-08-31,1762110,77210,1024
94,What If You Lived in the Stone Age?,2022-08-30,89754,2576,181
95,What If You Touched Absolute Zero? #Shorts,2022-08-29,40805,1878,131
96,What If South America and Africa Joined Together?,2022-08-27,82357,2507,258
97,What If You Ate Nothing But Caviar for a Month? #shorts,2022-08-26,24692,998,68
98,What If All the Planets Doubled in Size?,2022-08-25,450329,9082,697
99,What If You Swallowed Gallium? #Shorts,2022-08-24,21369,985,95
100,Most Dangerous Things You Could Jump Into,2022-08-23,373271,4658,298
101,What If Your Whole Body Was Magnetized? #Shorts,2022-08-22,1253031,76165,424
102,What If You Were Sucked Into a Fire Tornado?,2022-08-20,58290,1762,179
103,What If Yellowstone Erupted Tomorrow? #Shorts,2022-08-19,50144,1605,165
104,What If a Rogue Star Collided With the Sun?,2022-08-18,168990,5020,312
105,What If You Dumped an Iceberg into a Volcano? #Shorts,2022-08-17,35045,1575,93
106,What If Earth Had Jupiter's Magnetic Field?,2022-08-16,178388,5079,252
107,What If You Fell into Jupiter? #Shorts,2022-08-15,616203,54189,504
108,What If South America Disappeared?,2022-08-13,200052,4275,467
109,What If You Were Bitten By 1 Million Mosquitos? #Shorts,2022-08-12,6353665,313898,2316
110,What If the Argentinosaurus Was Alive Today?,2022-08-11,146104,3437,380
111,What If You Were the Only Woman on Earth? #Shorts,2022-08-10,2936141,236333,4806
112,What If You Had Eyes Like a Fly?,2022-08-09,110836,3172,223
113,What If a Magnitude 20 Earthquake Hits? #Shorts,2022-08-08,327043,25610,194
114,What If We Created the Next Human Species?,2022-08-06,105623,3294,282
115,What If Your Skin was Bulletproof? #Shorts,2022-08-05,11939777,751402,5744
116,What If You Took a Ride on Halley's Comet?,2022-08-04,147875,3701,233
117,What If You Were the Only Person Left on Earth #Shorts,2022-08-03,4851555,399374,2795
118,What If You Were Attacked by a Komodo Dragon?,2022-08-02,145486,3674,281
119,What If You Stopped Brushing Your Teeth? #Shorts,2022-08-01,2305085,131425,2586
120,What If Olympus Mons Was Located in South America?,2022-07-30,924637,17007,837
121,What If You Were Swallowed by a Hippo? #Shorts,2022-07-30,5313930,216090,673
122,What If Jupiter Collided With the Smallest Star?,2022-07-28,609041,11408,752
123,What If Earth Was Shaped Like a Football? #Shorts,2022-07-27,1692217,144992,1203
124,What If You Were Swallowed by a Whale? #Shorts,2022-07-25,582376,44468,469
125,Top 5 Doomsday Scenarios #Shorts,2022-07-22,3540309,282205,4412
126,What If We Nuked the Sun?,2022-07-22,307329,8020,951
127,What If We Had To Rebuild Human Society From Scratch?,2022-07-21,106167,3548,338
128,What If Mosasaurus Was Still Alive? #Shorts,2022-07-20,2059336,133694,838
129,What If We Brought Dinosaurs Back From Extinction?,2022-07-19,159568,4614,410
130,What If You Ate Mold? #Shorts,2022-07-18,165468,9489,87
131,What If Everything You Touched Turned Into Gold?,2022-07-16,149491,3577,355
132,What If an Asteroid Cracked the Moon in Half?,2022-07-15,341548,7455,452
133,What If We Stopped Procreating for 50 Years?,2022-07-14,112928,3502,418
134,What If You Lived on Kepler 22-b? #Shorts,2022-07-13,1905236,186790,1038
135,What If You Could Power a Spaceship with Antimatter?,2022-07-12,118847,3832,252
136,What If You Lived on Kepler 22-b?,2022-07-09,2194759,42183,3108
137,What If Mt. Fuji Exploded Tomorrow? #Shorts,2022-07-08,245410,26261,158
138,What If the Strongest Hurricane Ever Hit New York? #Shorts,2022-07-07,159655,11890,130
139,What If a Tornado Hit a Hurricane?,2022-07-07,849294,12597,920
140,What If the Earth Was Always Facing the Sun?,2022-07-05,203633,5061,308
141,What If Jupiter's Storm Existed on Earth?,2022-07-01,320285,8341,576
142,What If Titanosaurs Never Went Extinct? #Shorts,2022-06-30,1659996,151079,771
143,What If You Mated With an Alien?,2022-06-29,106157,3968,517
144,What If the Earth Was Actually Flat? #Shorts,2022-06-28,5718737,571565,15459
145,What If Crypto Suddenly Got Banned? #Shorts,2022-06-27,313134,23368,124
146,What If Mt. Fuji Exploded Tomorrow?,2022-06-26,282200,6559,459
147,What If Everyone Turned off Their Lights for an Hour? #Shorts,2022-06-25,1767548,175551,1490
148,What If We Replaced Our Moon With a Disco Ball?,2022-06-24,126710,3832,402
149,What If Spinosaurs Were Still Swimming Today? #Shorts,2022-06-23,128864,10054,101
150,What If Putin Never Came to Power?,2022-06-22,52240,1920,469
151,What If You Aged Backwards?,2022-06-18,120299,3543,317
152,What If You Were Swallowed by a Crocodile? #Shorts,2022-06-17,674024,32024,223
153,What If Ukraine Couldn't Grow Food This Summer?,2022-06-16,40927,1467,241
154,What If You Were Infected by the Cordyceps Fungus? #Shorts,2022-06-15,1504097,85008,870
155,What If Aliens Came to Earth a Million Years in the Future?,2022-06-14,125358,4343,302
156,What If You Went Surfing on a Tsunami? #Shorts,2022-06-13,600500,57403,157
157,What If You Get Swallowed by an Anaconda? #Shorts,2022-06-10,384601,19308,139
158,What If You Swallowed the World's Most Powerful Magnet?,2022-06-09,159279,3953,260
159,What If You Fell Into the Deepest Hole on Earth? #Shorts,2022-06-08,801341,72465,574
160,What If Styxosaurus Was Alive?,2022-06-07,743805,11925,429
161,What If You Fell Into Quicksand? #Shorts,2022-06-06,10864127,677631,1881
162,What If We Went on a Search for Alien Life?,2022-06-04,129242,4007,452
163,What If You Got Monkeypox?,2022-06-03,161410,5059,684
164,What If You Stopped Sleeping? #Shorts,2022-06-02,1367339,101144,935
165,What If You Fell Into a Piranha Pool? #Shorts,2022-06-01,3515766,263497,742
166,What If Venus and Mars Swapped Orbits?,2022-05-31,489541,10673,623
167,What If You Jumped Into Lake Natron? #Shorts,2022-05-30,524244,62491,389
168,What If There Were Aliens at the Bottom of the Mariana Trench?,2022-05-28,159899,5107,279
169,What If We Brought Europa's Ocean Water to Earth?,2022-05-26,369709,8528,561
170,What If You Had Camouflage Skin?,2022-05-24,54431,1822,135
171,What If the Earth Was Spinning on Its Side? #Shorts,2022-05-22,3807617,322395,2220
172,What If the Earth Was Spinning on Its Side?,2022-05-21,215046,4945,419
173,What If the Sun Was a Blue Star?,2022-05-19,621996,15013,819
174,What If You Were Born on the Moon? #Shorts,2022-05-18,4763936,450560,1228
175,What If the Moon Was Flat?,2022-05-17,204798,4756,493
176,What If You Didn't Blink for a Week?,2022-05-14,182485,4747,321
177,What If Humans Were Silicon-Based Instead of Carbon-Based?,2022-05-13,366859,7275,433
178,What If Ice Was Hot Instead of Cold? #Shorts,2022-05-12,5981445,451903,1075
179,What If Mountains Were Sleeping Giants? #Shorts,2022-05-11,582420,51665,393
180,What If You Were Born on the Moon?,2022-05-10,178864,6137,407
181,What if Earth Dropped to Absolute Zero for 5 Seconds?,2022-05-07,828348,15234,1019
182,What If You Didn't Wash Your Hair for a Year? #Shorts,2022-05-06,168314,10910,124
183,What If We Put Solar Panels Around the Sun?,2022-05-05,374930,8243,623
184,What If Kraken Existed? #Shorts,2022-05-04,461638,44516,379
185,What If You Were Attacked by a T. rex?,2022-05-03,106021,3063,349
186,What If You Lived in the Hottest Place on Earth?,2022-04-30,140409,3930,490
187,What Happens If You Fall Into a Pool of Liquid Nitrogen? #Shorts,2022-04-29,468594,39059,252
188,What If Earth Was Sandwiched Between Two Asteroid Belts?,2022-04-28,124827,3243,177
189,What If You Jumped Into a Pool of Liquid Mercury? #Shorts,2022-04-27,25278865,1798646,6398
190,What If You Visited Earth's Next Space Station?,2022-04-26,63137,2022,129
191,What If the Megalodon Shark Fought the Leviathan Whale?,2022-04-23,229952,5573,661
192,What If the Sun Collided With a Black Hole?,2022-04-21,505696,10701,662
193,What If the Megalodon Shark Fought the Mosasaurus? #Shorts,2022-04-20,961176,57480,624
194,What If You Fell Into Lake Nyos?,2022-04-19,157418,4254,196
195,Top 5 Doomsday Scenarios - part 2 #Shorts,2022-04-18,688168,80391,505
196,What If You Didn't Sleep For a Week?,2022-04-16,274227,6703,543
197,What If You Drank Toilet Water? #Shorts,2022-04-15,807288,66402,569
198,What If Russia Crashed the International Space Station?,2022-04-14,284481,4447,515
199,What If You Ate a Brick of Dry Ice? #Shorts,2022-04-13,5937905,603157,2108
200,What If the Earth Was a Polyhedron?,2022-04-12,184990,5052,363
201,What If Russia Launched a Nuke?,2022-04-10,519916,12480,2339
202,What If the Largest Asteroid Hit Earth? #Shorts,2022-04-09,5073579,393524,3658
203,What If You Survived the End of the Solar System?,2022-04-08,579093,12480,730
204,What If You Spent a Month on Snake Island?,2022-04-06,138455,3589,252
205,What If the Largest Asteroid Hit Earth?,2022-04-03,1142665,16922,1185
206,What Happens If You Don't Shower for a Month? #Shorts,2022-04-02,347097,18607,455
207,What If You Jumped on Every Planet in the Solar System?,2022-04-01,134316,3673,261
208,What If You Lived in a Cosmic Skyscraper?,2022-03-31,135207,4128,222
209,What If You Spent 24 Hours in a Hot Spring? #Shorts,2022-03-30,162841,10314,73
210,What If We Could Turn Deserts Into Farmland?,2022-03-29,116201,3651,244
211,What If You Had Three Eyes?,2022-03-27,138435,4032,384
212,What If You Spent a Week in Your Bathtub? #Shorts,2022-03-26,6261986,385702,1518
213,What If the Earth Had No Core?,2022-03-25,208313,6086,369
214,What If You Were Bitten by a Million Ticks? #Shorts,2022-03-23,184134,10264,106
215,What If You Spent 24 Hours in a Hot Spring?,2022-03-22,87601,2383,143
216,What If Everyone Started Inbreeding Tomorrow? #Shorts,2022-03-19,3102130,156484,1590
217,What If Sea Levels Suddenly Rose 500 Meters?,2022-03-18,231330,5170,471
218,What If China Invades Russia?,2022-03-17,392189,10736,2409
219,What If Megalodon Sharks Never Went Extinct? #Shorts,2022-03-16,388793,23975,248
220,What If a Marshmallow Hit the Earth at the Speed of Light?,2022-03-15,574664,11626,901
221,What If a Meteorite Crashed Into Your Home?,2022-03-12,91017,2450,199
222,What If You Only Drank Coca-Cola? #Shorts,2022-03-11,281541,19621,316
223,What If it Rained Volcanic Glass?,2022-03-10,52765,1928,159
224,What Happens If You Jumped Into a Pool Full of Stomach Acid? #Shorts,2022-03-09,3722836,263954,1957
225,What If Putin Died?,2022-03-08,752846,23202,4254
226,What If Everyone Lived for 150 Years?,2022-03-05,118026,3571,422
227,What If You Touched the Sun?,2022-03-03,379670,9764,616
228,What If Birds Were Actually Government Surveillance Drones?,2022-03-01,55142,1882,260
229,What If You Were in Ukraine Right Now?,2022-02-27,282459,13230,1650
230,What If You Lived on Uranus?,2022-02-26,340529,11367,1508
231,What If You Climbed the Highest Mountain in the Solar System?,2022-02-25,168188,5513,248
232,What If The Sun Was Smaller Than the Earth? #Shorts,2022-02-24,5031130,423274,1386
233,All Planets in the Habitable Zone #Shorts,2022-02-23,1584570,160074,462
234,What If You Were Attacked by a Bear?,2022-02-22,103542,2850,246
235,What If You Never Threw Anything Away?,2022-02-20,42224,1631,140
236,What If Men Could Get Pregnant? #Shorts,2022-02-19,757123,46139,1911
237,What If Earth Was the Size of Jupiter? #Shorts,2022-02-18,8735089,703027,3764
238,What If We Nuked the Mariana Trench?,2022-02-17,381243,8676,426
239,What If a Gamma-Ray Burst Hit a Black Hole?,2022-02-15,312712,9685,408
240,What If You Could Make Spider Web Like Spider-Man?,2022-02-13,127120,4511,238
241,Don't Do This if There Is a Spider Inside You #Shorts,2022-02-12,13378273,483537,2668
242,What If You Lived in the Paleozoic Era?,2022-02-11,319004,9210,561
243,Living in the Paleozoic Era #Shorts,2022-02-10,6907771,610955,2348
244,What If the James Webb Telescope Found Alien Life?,2022-02-09,256024,8904,811
245,Uranus or Ur-A-nus? #Shorts,2022-02-07,960315,67022,1905
246,What If Russia Started World War 3?,2022-02-06,2181089,56722,8382
247,Where Are Megalodon Sharks Hiding? #Shorts,2022-02-05,1966441,168570,844
248,What If You Were Alive During the Big Bang?,2022-02-04,246002,7687,693
249,What If Men Could Get Pregnant?,2022-02-03,232177,6195,1273
250,What If the Oceans Were Made of Gasoline?,2022-01-28,109472,3625,303
251,What If Earth Was the Size of Jupiter?,2022-01-25,702517,18301,984
252,What If You Were Sucked Into a Whirlpool?,2022-01-23,186674,4059,246
253,What If All the Planets of the Solar System Were in the Habitable Zone?,2022-01-21,1034145,22802,840
254,"What If You Evolved 1,000 Years in a Day?",2022-01-19,307538,8226,512
255,What If the Multiverse Was Real?,2022-01-16,200444,7596,832
256,What If We Could Create a New Planet?,2022-01-14,256601,7443,459
257,What If the Oceans Caught Fire?,2022-01-12,146120,4159,290
258,What If Mars Had Rings Like Saturn?,2022-01-09,170182,4924,352
259,What If Mullaperiyar Dam Suddenly Collapsed?,2022-01-07,328805,18963,2227
260,What If Aliens are Living Inside Earth?,2022-01-05,565656,12153,1057
261,What If All the World's Ice Melted?,2021-12-31,482712,9896,622
262,What If You Squat for 24 Hours Straight?,2021-12-29,147133,3936,415
263,What If These 5 Things Disappeared for 5 Seconds?,2021-12-26,155512,4788,258
264,What If You Lived in the Matrix?,2021-12-24,125532,5223,452
265,What If a Dark Hydrogen Iceberg Fell to Earth?,2021-12-22,381927,9535,481
266,The Solar System Song | by the What If Channel,2021-12-21,1628741,21275,2464
267,What If We Woke Up Volcanoes to Fight Climate Change?,2021-12-19,121621,4032,418
268,What If Everyone's Memories Were Erased?,2021-12-18,131075,4896,297
269,What If Earth’s Atmosphere Ignited Tomorrow?,2021-12-17,106149,3087,216
270,What If You Experienced the Most Painful Thing?,2021-12-15,186308,5767,573
271,What If the Megalodon Was Hiding in the Mariana Trench?,2021-12-12,1308512,21230,1401
272,Did You Know That Earth Hour Is a Bad Idea? #Shorts,2021-12-11,2816584,198667,2378
273,What If Jupiter's Moons Scattered Across the Solar System?,2021-12-10,151534,3946,217
274,What If the World Lost Oxygen for an Hour?,2021-12-08,179468,5769,405
275,What If the Earth Stopped Spinning for 5 Seconds?,2021-12-05,4529713,60513,3019
276,What Your Day Would Look Like On Every Planet #Shorts,2021-12-04,503710,34874,481
277,What If the U.S. Started World War III?,2021-12-03,274957,7505,1152
278,Top 3 Animals That Can Swallow You Whole #Shorts,2021-12-02,31577,1275,84
279,What If Ticks Were the Size of Humans?,2021-12-01,147241,3418,329
280,What If You Swallowed All Elements of the Periodic Table?,2021-11-30,328013,9975,417
281,What If You Spent a Day on Every Planet in Our Solar System?,2021-11-28,1365097,23778,1322
282,What If Jupiter Swallowed Earth? #Shorts,2021-11-27,1741526,132486,1023
283,What If You Knew What Would Happen in 100 Years?,2021-11-26,296980,11385,863
284,What If We Nuked Mars? #Shorts,2021-11-25,15202915,977898,8034
285,What If We Dumped All Our Trash in the Oceans?,2021-11-24,76625,2690,346
286,Top 3 Worst Places to Swim in,2021-11-21,209408,4538,226
287,What If You Could Trap a Ghost Like a Ghostbuster?,2021-11-19,58264,1773,118
288,What If You Brought Modern Technology to the Middle Ages?,2021-11-17,275643,9263,809
289,What If We Moved to Ceres?,2021-11-14,208237,6841,419
290,What If Earth Had Jupiter's Moons?,2021-11-12,412261,11231,571
291,What If You Drilled a Hole at the Bottom of the Mariana Trench?,2021-11-10,200493,6004,284
292,What If You Woke Up During Heart Surgery?,2021-11-07,276885,8823,591
293,What If We Dumped Our Trash into a Volcano? #Shorts,2021-11-06,274836,17975,213
294,What If You Never Washed Your Hair? (WARNING: distressing content),2021-11-05,1739456,12033,2385
295,What If These Three Animals Swallowed You?,2021-11-03,433969,6027,439
296,What If Your Brain Stopped Working for 5 Seconds?,2021-10-31,303268,10237,692
297,What If a Black Hole Entered Our Solar System? #Shorts,2021-10-30,3887484,204789,3321
298,What If Earth Was the Center of the Solar System?,2021-10-29,364464,10143,647
299,What If You Could Hear Planets?,2021-10-27,443125,12208,707
300,What If You Were Injected With Graphene?,2021-10-24,417573,11000,1875
301,What If You Lit a Match on Jupiter?,2021-10-22,1245955,28292,1250
302,What If Earth Were Sucked Into a Black Hole? #Shorts,2021-10-21,638387,32375,443
303,What If Carbon Disappeared for 5 Seconds?,2021-10-20,236653,8152,542
304,What If All Passengers on the Plane Jumped at Once? #Shorts,2021-10-16,12195178,794456,2833
305,What If You Spent 100 Years on Mars?,2021-10-15,278142,9468,724
306,What If All Continents Joined Back Together? #Shorts,2021-10-14,5828537,76060,1901
307,What If Our DNA Stopped Mutating?,2021-10-13,122236,4622,374
308,What If Earthquakes Lasted a Year?,2021-10-10,126409,4692,448
309,People Who Survived Falling Into Niagara Falls #Shorts,2021-10-09,273980,13907,83
310,What If All Men Disappeared?,2021-10-08,252394,9323,3754
311,Teleporting to Venus's Surface #Shorts,2021-10-07,180030,12380,246
312,What If a Black Hole Is Already in Our Solar System?,2021-10-06,288419,7206,535
313,What If You Got Infected by an Alien Parasite?,2021-10-05,389293,9782,600
314,What If There Were Life After Death?,2021-10-03,931416,21059,3256
315,What If Earth Had 10 Years Left?,2021-10-01,577781,17113,1765
316,What If We Drained Our Oceans? #Shorts,2021-09-30,231641,10723,180
317,What If You Swallowed Liquid Mercury?,2021-09-29,216138,5951,454
318,What If You Didn’t Leave the Bathtub for a Month?,2021-09-28,220064,5067,391
319,What If You Fell Into Lake Kivu?,2021-09-26,168163,4887,352
320,What If You Could Untie Your Belly Button?,2021-09-24,325018,8807,414
321,Could You Live Without Stomach Acid? #Shorts,2021-09-23,207290,10408,100
322,What If We Poured Concrete Into a Volcano?,2021-09-22,274427,7841,592
323,What If We Dug Tunnels Between Continents? #Shorts,2021-09-21,19545964,1016209,14658
324,Top 3 Benefits of Earth Being Shaped Like a Donut #Shorts,2021-09-20,4184224,190291,6034
325,What If Jupiter and Saturn Collided?,2021-09-19,2175274,34693,2112
326,What If We Didn't Have Bones? #Shorts,2021-09-18,240658,10763,122
327,What If You Moved an Entire City?,2021-09-17,89800,3016,325
328,What If You Went Through Puberty in 24 Hours?,2021-09-15,177606,5537,521
329,What If Earth Was Spinning at the Speed of Light?,2021-09-12,2535341,54044,2908
330,What If 9/11 Happened Again?,2021-09-10,441466,13863,1995
331,What If You Drank Snake Venom?,2021-09-08,198595,5433,435
332,What Would It Take to Reheat the Earth's Core? #Shorts,2021-09-05,250891,10718,118
333,What If We Could Reheat the Earth's Core?,2021-09-05,629811,14842,1115
334,What If Humans Walked on All Fours?,2021-09-03,198943,5123,607
335,Top 5 Events That Could End the World,2021-09-01,350709,10291,1300
336,What If Aliens Brought Life to Earth?,2021-08-29,317512,10393,1667
337,What If Earth Had Two Suns? #Shorts,2021-08-29,220698,13716,650
338,What If You Got Swallowed by a Goliath Fish?,2021-08-27,916970,7274,710
339,What If Our Oceans Froze?,2021-08-25,259013,7934,563
340,What If You Were Born on Mars?,2021-08-22,1559851,39275,2335
341,What If We Stopped Animal Testing?,2021-08-20,198653,6792,1132
342,How Would Jupiter Swallow Every Planet? #Shorts,2021-08-19,7864984,318817,4279
343,What If Earth Were Teleported to the Edge of the Universe?,2021-08-18,391618,13885,1191
344,What If Titans Were Real? #Shorts,2021-08-16,210119,11169,252
345,What If a New Continent Formed Tomorrow?,2021-08-15,416849,12342,1094
346,What If You Were Trapped in a Grocery Store for the Rest of Your Life?,2021-08-13,330492,9065,759
347,What If Monkeys Took Over the World?,2021-08-11,136867,4609,799
348,What If Earth Was a Massive Global City?,2021-08-08,268599,9622,872
349,What If There Were an Alien Civilization on Proxima b?,2021-08-06,642545,18528,1397
350,What If You Only Ate Insects for the Rest of Your Life?,2021-08-04,105329,3523,588
351,What If You Shed Your Skin Like a Snake?,2021-08-01,281060,6425,584
352,What If We Built a Highway in Space?,2021-07-30,344116,9667,692
353,What If You Were Bitten by One Million Mosquitoes?,2021-07-28,266888,7531,630
354,What If You Lost Your Teeth Overnight?,2021-07-25,159080,3639,566
355,What If We Moved to Mars? #Shorts,2021-07-24,255677,15474,422
356,What If the Big Bang Wasn't the Beginning of the Universe?,2021-07-23,645659,20976,1897
357,What If You Fell Off the World's Tallest Building?,2021-07-21,496101,11513,810
358,What If Your Tongue Were Twice as Long?,2021-07-18,183273,3642,496
359,What If Earth Was Shaped Like a Cube? #Shorts,2021-07-17,352878,19069,1089
360,What If Jupiter Swallowed Every Planet in the Solar System?,2021-07-16,1735105,35882,2680
361,What If You Mated With Neanderthals?,2021-07-14,362759,10348,1101
362,What If You Woke up 20 Years in the Future?,2021-07-11,223059,8071,957
363,What If You Fell Into a Black Hole? #Shorts,2021-07-10,3621569,216127,2920
364,What If Every Black Hole Suddenly Exploded?,2021-07-09,317533,10341,710
365,What If You Could Hear All the Planets? #Shorts,2021-07-08,3354956,227476,3301
366,What If America Were Split Apart?,2021-07-07,157861,5357,711
367,What If You Could Freeze a Hurricane?,2021-07-04,247344,7785,573
368,What If You Drank From Lake Natron?,2021-07-02,416904,10472,564
