,Title,Published_date,Views,likes,Comments
128,Safe and Sorry – Terrorism & Mass Surveillance,2016-04-14,4515735,183527,13016
129,Space Elevator – Science Fiction or the Future of Mankind?,2016-04-08,7407347,166371,8295
130,The Antibiotic Apocalypse Explained,2016-03-16,8114058,196989,14513
131,Why The War on Drugs Is a Huge Failure,2016-03-01,10251981,414585,26374
132,The Last Star in the Universe – Red Dwarfs Explained,2016-01-31,12468457,227657,13353
133,What Is Something?,2015-12-23,7700189,216859,11402
134,Black Holes Explained – From Birth to Death,2015-12-15,21534154,363207,16698
135,Quantum Computers Explained – Limits of Human Technology,2015-12-08,17492479,423518,18943
136,How Facebook is Stealing Billions of Views,2015-11-10,9588571,420008,20982
137,What Is Light?,2015-10-15,8721180,187867,7985
138,What is Dark Matter and Dark Energy?,2015-08-06,11156142,253632,11962
139,What if there was a black hole in your pocket?,2015-07-16,14312140,290300,14996
140,"The Death Of Bees Explained – Parasites, Poison and Humans",2015-07-09,14023087,205099,14348
141,The Fermi Paradox II — Solutions and Ideas – Where Are All The Aliens?,2015-06-04,15849575,378119,19570
142,The Fermi Paradox — Where Are All The Aliens? (1/2),2015-05-06,31774507,700656,43029
143,3 Reasons Why Nuclear Energy Is Terrible! 2/3,2015-04-01,4513191,71038,5964
144,3 Reasons Why Nuclear Energy Is Awesome! 3/3,2015-04-01,4485138,95721,6936
145,Nuclear Energy Explained: How does it work? 1/3,2015-03-26,7111428,111424,4332
146,Banking Explained – Money and Credit,2015-03-12,9073954,176304,8610
147,Measles Explained — Vaccinate or Not?,2015-02-24,9596977,133412,17608
148,How Small Is An Atom? Spoiler: Very Small.,2015-01-20,7556771,149674,6453
149,The Ultimate Conspiracy Debunker,2014-12-18,8074485,209827,18002
150,What Is Life? Is Death Real?,2014-12-11,13339691,290588,21621
151,The Ebola Virus Explained — How Your Body Fights For Survival,2014-11-06,12909090,222459,15477
152,Is War Over? — A Paradox Explained,2014-10-09,12423370,308475,28615
153,Atoms As Big As Mountains — Neutron Stars Explained,2014-09-03,8015021,171007,8380
154,Everything You Need to Know About Planet Earth,2014-08-04,12555275,222395,12812
155,The Immune System Explained I – Bacteria Infection,2014-07-01,50983251,528079,32566
156,"Iraq Explained -- ISIS, Syria and War",2014-06-19,7964156,137051,18899
157,Are You Alone? (In The Universe),2014-06-02,5365509,117918,7372
158,How to catch a Dwarf Planet -- Triton MM#3,2014-05-26,4067773,48866,2058
159,The Moons of Mars Explained -- Phobos & Deimos MM#2,2014-05-12,4363097,66246,2545
160,How Big is the Moon? MM#1,2014-05-05,2375314,36911,1345
161,Help us make more Videos for Kurzgesagt,2014-04-23,482008,12954,540
162,Who Invented the Internet? And Why?,2014-04-10,2923177,68623,6016
163,The Beginning of Everything -- The Big Bang,2014-03-03,13512103,245448,42720
164,Three Ways to Destroy the Universe,2014-02-03,25197144,603510,47752
165,The History and Future of Everything -- Time,2013-12-19,7387086,184811,13711
166,How The Stock Exchange Works (For Dummies),2013-11-28,8168869,128692,8615
167,The Gulf Stream Explained,2013-10-11,5781953,63390,1949
168,Fracking explained: opportunity or danger,2013-09-03,7140513,99893,8091
169,The Solar System -- our home in space,2013-08-22,5924750,81655,6131
170,How Evolution works,2013-07-11,10048961,230774,70579
